,text,ttext,nstop,wordDef
0,"so all you that say trump never downplayed covid19, your really saying woodward lied, somehow got trump's voice, or… ","['so', 'all', 'you', 'that', 'say', 'trump', 'never', 'downplayed', 'covid19', ',', 'your', 'really', 'saying', 'woodward', 'lied', ',', 'somehow', 'got', 'trump', ""'s"", 'voice', ',', 'or', '…']","['all', 'that', 'trump', 'downplayed', 'covid19', ',', 'really', 'saying', 'woodward', 'lied', ',', 'got', 'trump', 'voice', ',', '…']","[{'ADV', 'so'}, {'DET', 'all'}, {'PRON', 'you'}, {'DET', 'that'}, {'say', 'VERB'}, {'trump', 'NOUN'}, {'ADV', 'never'}, {'downplayed', 'VERB'}, {'NOUN', 'covid19'}, {',', 'PUNCT'}, {'your', 'PRON'}, {'ADV', 'really'}, {'saying', 'VERB'}, {'NOUN', 'woodward'}, {'VERB', 'lied'}, {',', 'PUNCT'}, {'somehow', 'ADV'}, {'got', 'VERB'}, {'trump', 'NOUN'}, {""'s"", 'PART'}, {'NOUN', 'voice'}, {',', 'PUNCT'}, {'CCONJ', 'or'}, {'PUNCT', '…'}]"
1,coronavirus: yorkshire quartet out of t20 blast group games after positive test ,"['coronavirus', ':', 'yorkshire', 'quartet', 'out', 'of', 't20', 'blast', 'group', 'games', 'after', 'positive', 'test']","['coronavirus', ':', 'yorkshire', 'quartet', 'of', 't20', 'blast', 'group', 'games', 'positive', 'test']","[{'NOUN', 'coronavirus'}, {'PUNCT', ':'}, {'NOUN', 'yorkshire'}, {'NOUN', 'quartet'}, {'out', 'SCONJ'}, {'of', 'ADP'}, {'t20', 'NOUN'}, {'NOUN', 'blast'}, {'NOUN', 'group'}, {'games', 'NOUN'}, {'after', 'ADP'}, {'positive', 'ADJ'}, {'NOUN', 'test'}]"
2,cdc: almost all of the us kids and teens who've died from covid-19 were hispanic or black  v… ,"['cdc', ':', 'almost', 'all', 'of', 'the', 'us', 'kids', 'and', 'teens', 'who', ""'ve"", 'died', 'from', 'covid-19', 'were', 'hispanic', 'or', 'black', ' ', 'v', '…']","['cdc', ':', 'all', 'the', 'kids', 'teens', ""'ve"", 'died', 'covid-19', 'hispanic', 'black', ' ', 'v', '…']","[{'NOUN', 'cdc'}, {'PUNCT', ':'}, {'ADV', 'almost'}, {'DET', 'all'}, {'of', 'ADP'}, {'DET', 'the'}, {'PRON', 'us'}, {'NOUN', 'kids'}, {'and', 'CCONJ'}, {'NOUN', 'teens'}, {'PRON', 'who'}, {'AUX', ""'ve""}, {'died', 'VERB'}, {'ADP', 'from'}, {'ADV', 'covid-19'}, {'were', 'AUX'}, {'hispanic', 'ADJ'}, {'CCONJ', 'or'}, {'ADJ', 'black'}, {' ', 'SPACE'}, {'v', 'ADP'}, {'PUNCT', '…'}]"
3,fellow south africans must one day tell ukuthi how did they get convinced about covid-19 fakendemic lockdown. i tho… ,"['fellow', 'south', 'africans', 'must', 'one', 'day', 'tell', 'ukuthi', 'how', 'did', 'they', 'get', 'convinced', 'about', 'covid-19', 'fakendemic', 'lockdown', '.', 'i', 'tho', '…']","['fellow', 'south', 'africans', 'one', 'day', 'tell', 'ukuthi', 'did', 'get', 'convinced', 'covid-19', 'fakendemic', 'lockdown', '.', 'tho', '…']","[{'fellow', 'ADJ'}, {'south', 'ADJ'}, {'NOUN', 'africans'}, {'AUX', 'must'}, {'NUM', 'one'}, {'NOUN', 'day'}, {'tell', 'VERB'}, {'ukuthi', 'ADP'}, {'ADV', 'how'}, {'did', 'AUX'}, {'PRON', 'they'}, {'get', 'VERB'}, {'VERB', 'convinced'}, {'about', 'ADP'}, {'covid-19', 'ADJ'}, {'fakendemic', 'ADJ'}, {'lockdown', 'NOUN'}, {'PUNCT', '.'}, {'PRON', 'i'}, {'tho', 'X'}, {'PUNCT', '…'}]"
4,"ahmedabad adds 165 covid-19 cases, taking tally to 34,237; toll rises to 1,784 with three more deaths: gujarat health department","['ahmedabad', 'adds', '165', 'covid-19', 'cases', ',', 'taking', 'tally', 'to', '34,237', ';', 'toll', 'rises', 'to', '1,784', 'with', 'three', 'more', 'deaths', ':', 'gujarat', 'health', 'department']","['ahmedabad', 'adds', '165', 'covid-19', 'cases', ',', 'taking', 'tally', '34,237', ';', 'toll', 'rises', '1,784', 'three', 'deaths', ':', 'gujarat', 'health', 'department']","[{'NOUN', 'ahmedabad'}, {'adds', 'VERB'}, {'NUM', '165'}, {'covid-19', 'PROPN'}, {'cases', 'NOUN'}, {',', 'PUNCT'}, {'taking', 'VERB'}, {'NOUN', 'tally'}, {'to', 'ADP'}, {'NUM', '34,237'}, {'PUNCT', ';'}, {'NOUN', 'toll'}, {'rises', 'VERB'}, {'to', 'ADP'}, {'NUM', '1,784'}, {'with', 'ADP'}, {'three', 'NUM'}, {'ADJ', 'more'}, {'NOUN', 'deaths'}, {'PUNCT', ':'}, {'gujarat', 'NOUN'}, {'NOUN', 'health'}, {'NOUN', 'department'}]"
5,we are getting so close.  keep spreading ,"['we', 'are', 'getting', 'so', 'close', '.', ' ', 'keep', 'spreading']","['are', 'getting', 'close', '.', ' ', 'spreading']","[{'we', 'PRON'}, {'are', 'AUX'}, {'getting', 'VERB'}, {'ADV', 'so'}, {'close', 'ADJ'}, {'PUNCT', '.'}, {' ', 'SPACE'}, {'keep', 'VERB'}, {'VERB', 'spreading'}]"
6,"prof sucharita sen  explains how inflation, lack of social security, greater job-loss affected… ","['prof', 'sucharita', 'sen', ' ', 'explains', 'how', 'inflation', ',', 'lack', 'of', 'social', 'security', ',', 'greater', 'job', '-', 'loss', 'affected', '…']","['prof', 'sucharita', 'sen', ' ', 'explains', 'inflation', ',', 'lack', 'social', 'security', ',', 'greater', 'job', '-', 'loss', 'affected', '…']","[{'prof', 'VERB'}, {'sucharita', 'NOUN'}, {'NOUN', 'sen'}, {' ', 'SPACE'}, {'VERB', 'explains'}, {'ADV', 'how'}, {'NOUN', 'inflation'}, {',', 'PUNCT'}, {'lack', 'NOUN'}, {'of', 'ADP'}, {'social', 'ADJ'}, {'NOUN', 'security'}, {',', 'PUNCT'}, {'ADJ', 'greater'}, {'NOUN', 'job'}, {'PUNCT', '-'}, {'NOUN', 'loss'}, {'affected', 'VERB'}, {'PUNCT', '…'}]"
7,worcester among 17 mass. communities at high risk of covid-19 ,"['worcester', 'among', '17', 'mass', '.', 'communities', 'at', 'high', 'risk', 'of', 'covid-19']","['worcester', '17', 'mass', '.', 'communities', 'high', 'risk', 'covid-19']","[{'ADV', 'worcester'}, {'among', 'ADP'}, {'NUM', '17'}, {'NOUN', 'mass'}, {'PUNCT', '.'}, {'NOUN', 'communities'}, {'at', 'ADP'}, {'high', 'ADJ'}, {'NOUN', 'risk'}, {'of', 'ADP'}, {'covid-19', 'PROPN'}]"
8,anyone with any brain would have known this would happen.. ,"['anyone', 'with', 'any', 'brain', 'would', 'have', 'known', 'this', 'would', 'happen', '..']","['with', 'brain', 'have', 'known', 'would', 'happen', '..']","[{'PRON', 'anyone'}, {'with', 'ADP'}, {'DET', 'any'}, {'NOUN', 'brain'}, {'would', 'AUX'}, {'have', 'AUX'}, {'known', 'VERB'}, {'DET', 'this'}, {'would', 'AUX'}, {'happen', 'VERB'}, {'..', 'PUNCT'}]"
9,multiple white house staff test positive for coronavirus,"['multiple', 'white', 'house', 'staff', 'test', 'positive', 'for', 'coronavirus']","['multiple', 'white', 'house', 'staff', 'test', 'positive', 'coronavirus']","[{'multiple', 'ADJ'}, {'white', 'ADJ'}, {'NOUN', 'house'}, {'staff', 'NOUN'}, {'NOUN', 'test'}, {'positive', 'ADJ'}, {'for', 'ADP'}, {'NOUN', 'coronavirus'}]"
